Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
der/die,"Entwickler/in, -/-nen",Developer,Er arbeitet als App-Entwickler bei einer großen Firma.,He works as an app developer at a large company.,N
sich,sich einteilen,to divide oneself up,Ich muss mir meine Zeit für die Aufgaben gut einteilen.,I need to manage my time well for the tasks.,V
sich,sich engagieren,to become involved,Sie engagiert sich ehrenamtlich in einem Tierheim.,She volunteers at an animal shelter.,V
sich,sich entspannen,to relax,Nach der Arbeit möchte ich mich einfach nur entspannen.,"After work, I just want to relax.",V
sich,sich ergeben,to surrender,Aus dem Gespräch ergaben sich viele neue Möglichkeiten.,The conversation opened up many new possibilities.,V
sich,sich herausstellen,(turn out,"Es stellte sich heraus, dass die Information richtig war.",It turned out that the information was correct.,V
sich,sich orientieren an,to orient oneself towards,Wir orientieren uns bei der Planung an den Kundenwünschen.,We base our planning on the customer's wishes.,V
sich,sich verpflichten zu,to commit oneself to,Er hat sich zur Mitarbeit an diesem Projekt verpflichtet.,He has committed to collaborating on this project.,V
sich,sich verschärfen,to worsen,Die wirtschaftliche Situation hat sich zuletzt verschärft.,The economic situation has recently worsened.,V
sich,sich versehen,to be aware,Ich habe mich leider in der Hausnummer versehen.,I made a mistake with the house number.,V
sich,sich vornehmen,to plan,"Ich habe mir vorgenommen, jeden Tag Deutsch zu lernen.",I have made it my goal to learn German every day.,V
sich,sich weiterbilden,to further one's education,In diesem Beruf muss man sich ständig weiterbilden.,This profession requires continuous professional development.,V
,unentgeltlich,free of charge,Er arbeitet unentgeltlich für einen gemeinnützigen Verein.,He works without pay for a non-profit organization.,Adj
das,"Abarbeiten, -",Process,Ich muss heute noch viele offene E-Mails abarbeiten.,I still have a lot of open emails to deal with today.,N
,abdecken,cover,Die Versicherung deckt alle entstandenen Schäden ab.,The insurance covers all damages incurred.,V
die,"Abfallvermeidung, -en",Waste prevention,Abfallvermeidung ist ein wichtiger Teil des Umweltschutzes.,Waste prevention is an important part of environmental protection.,N
,abfertigen,process,Die Passagiere wurden am Schalter zügig abgefertigt.,The passengers were processed quickly at the counter.,V
die,"Abfindung, -en",Severance pay,Nach der Kündigung erhielt die Mitarbeiterin eine Abfindung.,The employee received a severance payment after her dismissal.,N
der,"Abfindungsanspruch, -ü-e",Severance pay claim,"Prüfen Sie, ob ein gesetzlicher Abfindungsanspruch besteht.",Check whether you are legally entitled to severance pay.,N
das,"Abgas, -e",Exhaust gases,Die Abgase von Autos belasten die Luft in der Stadt.,Car exhaust fumes pollute the air in the city.,N
,abgelten,compensate,Überstunden können oft durch Freizeit abgegolten werden.,Overtime can often be compensated with time off.,V
,abgewöhnen,break the habit,"Ich versuche gerade, mir das Rauchen abzugewöhnen.",I'm currently trying to quit smoking.,V
die,"Abhilfe: Abhilfe schaffen, -n",Remedy: To remedy,Wir müssen schnell Abhilfe für dieses Problem schaffen.,We need to quickly remedy this problem.,N
